index, real(in), imag(in), real(out), imag(out), error, f_in, f_out
0,  -0.49499625,   0.07056000,   1.00000000,   0.00000000,   3.00000000,  -0.20000000,   0.00000000
1,  -0.47111115,   0.16749410,   0.98820370,   0.15314497,   2.64625001,  -0.20000000,   0.00375000
2,  -0.42844436,   0.25775072,   0.95734698,   0.28894085,   2.30687952,  -0.20000000,   0.00705781
3,  -0.36869681,   0.33773163,   0.91373789,   0.40630421,   1.98159420,  -0.20000000,   0.00994141
4,  -0.29425049,   0.40424827,   0.86285567,   0.50545037,   1.67009592,  -0.20000000,   0.01241841
5,  -0.20807330,   0.45464876,   0.80925429,   0.58745849,   1.37208498,  -0.20000000,   0.01450603
6,  -0.11360091,   0.48692384,   0.75657302,   0.65390921,   1.08725977,  -0.20000000,   0.01622113
7,  -0.01459959,   0.49978679,   0.70761216,   0.70660108,   0.81531644,  -0.20000000,   0.01758021
8,   0.08498376,   0.49272484,   0.66444278,   0.74733913,   0.55595130,  -0.20000000,   0.01859935
9,   0.18117908,   0.46601945,   0.62852556,   0.77778894,   0.30885929,  -0.20000000,   0.01929429
10,   0.27015132,   0.42073539,   0.60082495,   0.79938060,   0.07373597,  -0.20000000,   0.01968037
11,   0.34835351,   0.35867789,   0.58190840,   0.81325430,  -0.14972340,  -0.20000000,   0.01977254
12,   0.41266793,   0.28232107,   0.57202637,   0.82023525,  -0.36182258,  -0.20000000,   0.01958538
13,   0.46053058,   0.19470899,   0.57117140,   0.82083082,  -0.56286442,  -0.20000000,   0.01913310
14,   0.49003333,   0.09933448,   0.57911766,   0.81524402,  -0.75315076,  -0.20000000,   0.01842952
15,   0.50000000,  -0.00000019,   0.59544176,   0.80339843,  -0.93298125,  -0.20000000,   0.01748808
16,   0.49003324,  -0.09933486,   0.61952907,   0.78497374,  -1.10265410,  -0.20000000,   0.01632186
17,   0.46053043,  -0.19470935,   0.65056777,   0.75944823,  -1.26246488,  -0.20000000,   0.01494354
18,   0.41266769,  -0.28232139,   0.68753541,   0.72615081,  -1.41270721,  -0.20000000,   0.01336546
19,   0.34835324,  -0.35867816,   0.72918165,   0.68432021,  -1.55367136,  -0.20000000,   0.01159958
20,   0.27015099,  -0.42073560,   0.77401084,   0.63317233,  -1.68564534,  -0.20000000,   0.00965749
21,   0.18117869,  -0.46601963,   0.82027018,   0.57197624,  -1.80891347,  -0.20000000,   0.00755043
22,   0.08498335,  -0.49272490,   0.86594647,   0.50013667,  -1.92375708,  -0.20000000,   0.00528929
23,  -0.01460001,  -0.49978679,   0.90877664,   0.41728285,  -2.03045392,  -0.20000000,   0.00288459
24,  -0.11360131,  -0.48692375,   0.94627631,   0.32335913,  -2.12927771,  -0.20000000,   0.00034652
25,  -0.20807363,  -0.45464861,   0.97578859,   0.21871582,  -2.22049880,  -0.20000000,  -0.00231507
26,  -0.29425076,  -0.40424806,   0.99455708,   0.10419314,  -2.30438304,  -0.20000000,  -0.00509070
27,  -0.36869705,  -0.33773139,   0.99982315,  -0.01880663,  -2.38119268,  -0.20000000,  -0.00797118
28,  -0.42844453,  -0.25775042,   0.98894745,  -0.14826639,  -2.45118546,  -0.20000000,  -0.01094767
29,  -0.47111127,  -0.16749376,   0.95955306,  -0.28152782,  -2.51461458,  -0.20000000,  -0.01401165
30,  -0.49499631,  -0.07055965,   0.90968490,  -0.41529918,  -2.57172918,  -0.20000000,  -0.01715492
31,  -0.49914736,   0.02918745,   0.83797872,  -0.54570293,  -2.62277317,  -0.20000000,  -0.02036958
32,  -0.48339900,   0.12777095,   0.74382955,  -0.66836935,  -2.66798639,  -0.20000000,  -0.02364805
33,  -0.44837901,   0.22126061,   0.62754780,  -0.77857804,  -2.70760417,  -0.20000000,  -0.02698303
34,  -0.39548358,   0.30592930,   0.49048993,  -0.87144685,  -2.74185658,  -0.20000000,  -0.03036753
35,  -0.32682145,   0.37840155,   0.33514974,  -0.94216490,  -2.77096868,  -0.20000000,  -0.03379485
36,  -0.24513008,   0.43578807,   0.16519630,  -0.98626071,  -2.79516149,  -0.20000000,  -0.03725857
37,  -0.15366617,   0.47580111,  -0.01455308,  -0.99989408,  -2.81465054,  -0.20000000,  -0.04075252
38,  -0.05607607,   0.49684551,  -0.19823514,  -0.98015451,  -2.82964706,  -0.20000000,  -0.04427083
39,   0.04374959,   0.49808231,  -0.37912199,  -0.92534667,  -2.84035659,  -0.20000000,  -0.04780789
40,   0.14183110,   0.47946215,  -0.54988229,  -0.83524215,  -2.84698033,  -0.20000000,  -0.05135834
41,   0.23425825,   0.44172737,  -0.70291638,  -0.71127254,  -2.84971404,  -0.20000000,  -0.05491706
42,   0.31734630,   0.38638237,  -0.83075041,  -0.55664515,  -2.84874892,  -0.20000000,  -0.05847920
43,   0.38778275,   0.31563354,  -0.92647344,  -0.37636012,  -2.84427118,  -0.20000000,  -0.06204014
44,   0.44275957,   0.23230143,  -0.98418999,  -0.17711610,  -2.83646202,  -0.20000000,  -0.06559549
